"Timestamp","Gender","Education Level","College","Programme Level","Residence","Do you still use the university-provided SIM card?","How frequently do you use your sim?","How would you rate the connectivity strength of your network? (1 being the lowest, 5 being the highest)","What do you use your Telecel school-provided SIM card for?
* Making  calls","What do you use your Telecel school-provided SIM card for?
* Browsing  the internet","What do you use your Telecel school-provided SIM card for?
* Sending  texts message(SMS)","Do you use other networks besides your vodafone (Telecel)? *","Would  you consider  discontinuing your school-provided SIM or switching  to  a different  network  provider due to:
* Poor Network Quality Coverage","Would  you consider  discontinuing your school-provided SIM or switching  to  a different  network  provider due to:
* Unsatisfactory Customer Service","Would  you consider  discontinuing your school-provided SIM or switching  to  a different  network  provider due to:
* Better services from other network providers","Would  you consider  discontinuing your school-provided SIM or switching  to  a different  network  provider due to:
* High Costs of Services","Do you exhaust your monthly data allowance? (5GB)","What is your approximate monthly data usage? (in GB)","What changes  or improvements  would you  like  to see in your school-provided  SIM card services? ......"
"2024/06/14 02:27:47 AM GMT","Male","Masters","College of Art and Built Environment","300","On-campus","No","Occasionally","3","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","0-2","Increase data allowance"
"2024/06/24 06:31:42 PM GMT","Female","Masters","College of Agriculture and Natural Resources","200","On-campus","No","Rarely","3","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","3-5",""
"2024/06/13 07:34:56 PM GMT","Male","Undergraduate","College of Agriculture and Natural Resources","400","On-campus","No","Rarely","3","No","Yes","Yes","No","Yes","No","No","No","Yes","No","0-2","Better customer service"
"2024/06/18 08:01:52 AM GMT","Female","Postgraduate","College of Health Sciences","400","On-campus","No","Never","4","No","Yes","Yes","Yes","No","Yes","No","No","No","Yes","More than 8","Increase data allowance"
"2024/06/28 02:46:54 PM GMT","Male","Undergraduate","College of Agriculture and Natural Resources","400","On-campus","No","Rarely","4","No","No","No","No","Yes","Yes","No","Yes","No","No","6-8","Increase data allowance"
"2024/06/24 03:22:57 PM GMT","Male","Postgraduate","College of Health Sciences","200","On-campus","No","Several times a week","1","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","More than 8",""
"2024/07/01 12:35:28 PM GMT","Female","Masters","College of Art and Built Environment","100","Off-campus","Yes","Several times a week","4","No","No","No","No","Yes","No","Yes","Yes","Yes","No","3-5","Improve network connection"
"2024/07/01 11:54:29 PM GMT","Male","Postgraduate","College of Humanity and Social Science","100","On-campus","Yes","Never","5","Yes","Yes","No","Yes","No","Yes","No","No","Yes","No","0-2","Improve network connection"
"2024/06/12 11:25:08 PM GMT","Male","Undergraduate","College of Health Sciences","200","Off-campus","No","Daily","5","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","6-8","Better customer service"
"2024/06/21 04:31:23 AM GMT","Male","Masters","College of Health Sciences","200","Off-campus","Yes","Rarely","5","Yes","Yes","No","No","Yes","Yes","No","No","Yes","No","3-5",""
"2024/06/14 05:00:14 PM GMT","Male","Undergraduate","College of Art and Built Environment","400","Off-campus","Yes","Occasionally","1","Yes","No","No","Yes","No","Yes","Yes","Yes","No","Yes","3-5",""
"2024/06/16 06:51:55 AM GMT","Female","Postgraduate","College of Humanity and Social Science","100","Off-campus","Yes","Occasionally","4","No","No","Yes","No","No","No","No","Yes","No","No","3-5","Better customer service"
"2024/06/21 10:40:02 PM GMT","Male","Masters","College of Art and Built Environment","100","Off-campus","Yes","Rarely","2","No","Yes","No","No","Yes","Yes","Yes","No","No","Yes","More than 8","Better customer service"
"2024/06/13 10:27:48 PM GMT","Female","Masters","College of Engineering","300","Off-campus","Yes","Daily","2","Yes","No","No","Yes","No","Yes","No","No","No","Yes","More than 8",""
"2024/06/22 08:07:34 AM GMT","Female","Masters","College of Health Sciences","400","Off-campus","Yes","Occasionally","1","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","3-5","Increase data allowance"
"2024/06/27 08:36:13 PM GMT","Male","Undergraduate","College of Humanity and Social Science","100","Off-campus","No","Never","5","No","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","More than 8","Increase data allowance"
"2024/06/15 12:26:03 AM GMT","Male","Postgraduate","College of Health Sciences","200","Off-campus","Yes","Occasionally","2","No","Yes","No","No","No","Yes","No","Yes","Yes","Yes","More than 8","Better customer service"
"2024/06/20 10:24:02 AM GMT","Female","Undergraduate","College of Humanity and Social Science","100","Off-campus","No","Never","2","No","Yes","Yes","No","Yes","No","No","Yes","No","Yes","0-2","Cheaper data plans"
"2024/06/24 05:41:05 AM GMT","Male","Undergraduate","College of Health Sciences","100","Off-campus","No","Rarely","5","Yes","No","Yes","No","Yes","No","No","No","Yes","No","0-2","Better customer service"
"2024/06/25 03:37:03 AM GMT","Female","Postgraduate","College of Art and Built Environment","100","Off-campus","No","Rarely","1","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","6-8","Better customer service"
"2024/06/25 08:04:52 AM GMT","Female","Postgraduate","School of Business","400","On-campus","No","Several times a week","4","Yes","Yes","No","No","No","Yes","Yes","No","Yes","Yes","More than 8","Better customer service"
"2024/06/29 07:00:52 PM GMT","Female","Postgraduate","College of Art and Built Environment","400","On-campus","Yes","Several times a week","4","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","3-5","Increase data allowance"
"2024/06/22 08:45:00 PM GMT","Male","Masters","College of Health Sciences","400","On-campus","Yes","Daily","5","No","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","More than 8","Cheaper data plans"
"2024/06/12 09:48:00 PM GMT","Female","Undergraduate","School of Business","400","On-campus","No","Never","1","No","No","Yes","No","Yes","No","Yes","Yes","No","Yes","0-2","Cheaper data plans"
"2024/06/11 10:29:09 PM GMT","Female","Masters","College of Art and Built Environment","400","On-campus","Yes","Rarely","1","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","No","6-8","Improve network connection"
"2024/07/01 09:31:56 AM GMT","Female","Postgraduate","College of Agriculture and Natural Resources","100","On-campus","No","Never","4","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","Yes","6-8","Increase data allowance"
"2024/06/15 11:00:11 AM GMT","Male","Undergraduate","School of Business","300","Off-campus","No","Daily","1","Yes","No","Yes","No","Yes","Yes","No","No","No","No","6-8","Increase data allowance"
"2024/06/15 07:53:49 PM GMT","Male","Undergraduate","College of Agriculture and Natural Resources","300","Off-campus","Yes","Daily","1","Yes","No","No","No","Yes","No","No","Yes","Yes","Yes","3-5",""
"2024/06/30 10:21:30 PM GMT","Female","Undergraduate","College of Engineering","200","Off-campus","No","Rarely","1","Yes","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","3-5","Increase data allowance"
"2024/06/22 03:30:36 PM GMT","Female","Postgraduate","College of Agriculture and Natural Resources","400","Off-campus","Yes","Several times a week","3","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","No","3-5","Improve network connection"
"2024/06/21 08:29:35 PM GMT","Female","Postgraduate","College of Humanity and Social Science","200","Off-campus","Yes","Never","2","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","0-2","Better customer service"
"2024/06/18 08:51:45 AM GMT","Female","Undergraduate","College of Art and Built Environment","100","On-campus","No","Rarely","5","No","Yes","Yes","Yes","Yes","No","No","No","No","No","3-5","Increase data allowance"
"2024/06/20 11:37:18 PM GMT","Male","Undergraduate","College of Engineering","300","On-campus","No","Never","5","Yes","No","Yes","No","Yes","No","Yes","Yes","Yes","No","6-8","Increase data allowance"
"2024/06/14 05:17:29 PM GMT","Female","Postgraduate","College of Science","400","Off-campus","Yes","Daily","4","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","More than 8","Increase data allowance"
"2024/06/18 03:23:50 AM GMT","Female","Postgraduate","School of Business","300","On-campus","No","Several times a week","4","No","Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","0-2","Increase data allowance"
"2024/06/19 11:01:55 AM GMT","Male","Undergraduate","College of Engineering","400","Off-campus","Yes","Never","1","No","Yes","No","No","Yes","No","No","No","No","No","0-2","Cheaper data plans"
"2024/06/28 03:51:25 PM GMT","Female","Undergraduate","College of Art and Built Environment","400","On-campus","Yes","Never","3","No","Yes","Yes","Yes","No","No","No","No","No","No","More than 8","Cheaper data plans"
"2024/06/29 03:26:09 AM GMT","Male","Masters","College of Agriculture and Natural Resources","400","On-campus","No","Never","2","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","0-2","Improve network connection"
"2024/06/15 05:24:09 PM GMT","Female","Undergraduate","College of Engineering","100","Off-campus","No","Daily","5","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","0-2","Cheaper data plans"
"2024/06/12 03:06:46 AM GMT","Female","Undergraduate","College of Agriculture and Natural Resources","300","On-campus","Yes","Several times a week","4","Yes","No","Yes","No","Yes","No","No","Yes","Yes","Yes","3-5",""
"2024/06/30 02:36:31 PM GMT","Female","Masters","College of Science","400","On-campus","Yes","Never","4","Yes","Yes","No","No","Yes","Yes","No","Yes","Yes","No","3-5","Increase data allowance"
"2024/06/27 05:39:23 PM GMT","Male","Undergraduate","College of Engineering","200","On-campus","No","Never","2","Yes","Yes","No","Yes","No","No","No","Yes","Yes","No","More than 8","Improve network connection"
"2024/06/21 05:49:37 PM GMT","Male","Undergraduate","College of Engineering","400","On-campus","No","Several times a week","3","No","No","No","Yes","No","No","Yes","Yes","Yes","No","6-8",""
"2024/06/25 03:08:26 PM GMT","Male","Undergraduate","College of Engineering","300","Off-campus","Yes","Never","1","No","Yes","No","Yes","Yes","Yes","Yes","No","No","No","More than 8",""
"2024/06/16 06:26:12 PM GMT","Female","Masters","College of Engineering","300","Off-campus","Yes","Occasionally","5","Yes","No","Yes","No","Yes","No","Yes","Yes","Yes","No","0-2","Increase data allowance"
"2024/06/19 01:34:25 AM GMT","Female","Masters","College of Agriculture and Natural Resources","200","Off-campus","Yes","Never","1","Yes","No","No","Yes","No","No","No","No","No","No","3-5","Increase data allowance"
"2024/06/15 12:57:15 PM GMT","Male","Masters","College of Health Sciences","200","Off-campus","Yes","Occasionally","3","No","Yes","No","Yes","No","Yes","No","No","No","Yes","3-5","Cheaper data plans"
"2024/06/12 12:28:24 PM GMT","Female","Undergraduate","College of Science","300","On-campus","Yes","Daily","2","Yes","No","No","No","Yes","No","No","No","Yes","Yes","3-5","Cheaper data plans"
"2024/06/19 03:44:02 AM GMT","Male","Masters","College of Health Sciences","400","Off-campus","Yes","Occasionally","4","No","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","6-8","Better customer service"
"2024/07/01 05:07:42 PM GMT","Female","Masters","College of Health Sciences","200","Off-campus","Yes","Daily","2","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","No","0-2","Improve network connection"
"2024/06/13 02:30:05 PM GMT","Male","Undergraduate","College of Engineering","300","Off-campus","Yes","Never","4","Yes","No","Yes","Yes","No","No","No","No","Yes","No","0-2","Cheaper data plans"
"2024/06/28 04:39:58 PM GMT","Male","Undergraduate","College of Humanity and Social Science","200","Off-campus","Yes","Rarely","5","Yes","No","No","No","No","No","Yes","No","No","No","0-2","Increase data allowance"
"2024/06/26 10:33:12 PM GMT","Female","Masters","College of Health Sciences","400","On-campus","No","Several times a week","2","Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","No","6-8","Increase data allowance"
"2024/06/19 07:34:54 AM GMT","Male","Undergraduate","School of Business","300","On-campus","No","Rarely","2","Yes","No","Yes","No","Yes","No","No","No","No","No","More than 8","Increase data allowance"
"2024/06/29 04:27:41 AM GMT","Male","Undergraduate","College of Art and Built Environment","200","Off-campus","No","Daily","1","Yes","No","No","Yes","Yes","No","Yes","No","No","Yes","6-8","Cheaper data plans"
"2024/06/27 09:20:12 AM GMT","Female","Postgraduate","College of Health Sciences","300","Off-campus","No","Occasionally","3","No","Yes","No","No","Yes","No","No","No","Yes","No","More than 8","Cheaper data plans"
"2024/06/23 12:47:16 AM GMT","Male","Postgraduate","College of Agriculture and Natural Resources","100","On-campus","Yes","Never","2","No","Yes","Yes","Yes","No","Yes","No","No","No","No","0-2",""
"2024/06/28 12:07:26 AM GMT","Female","Undergraduate","School of Business","200","Off-campus","Yes","Rarely","5","No","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","3-5","Improve network connection"
"2024/06/14 07:37:09 PM GMT","Female","Masters","College of Science","300","On-campus","Yes","Rarely","4","Yes","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","0-2","Improve network connection"
"2024/06/28 12:36:23 AM GMT","Male","Undergraduate","College of Health Sciences","400","On-campus","Yes","Rarely","1","No","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","0-2","Increase data allowance"
"2024/06/18 06:07:35 AM GMT","Female","Masters","College of Art and Built Environment","100","On-campus","No","Several times a week","5","No","Yes","No","Yes","No","No","Yes","No","Yes","No","0-2","Increase data allowance"
"2024/06/14 08:37:19 PM GMT","Female","Undergraduate","College of Engineering","400","On-campus","Yes","Several times a week","3","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","No","0-2",""
"2024/06/23 08:54:20 PM GMT","Female","Postgraduate","College of Science","400","Off-campus","Yes","Several times a week","2","Yes","No","Yes","Yes","Yes","No","No","Yes","No","Yes","0-2","Improve network connection"
"2024/06/24 03:46:56 AM GMT","Female","Postgraduate","College of Engineering","200","Off-campus","No","Rarely","1","No","No","Yes","No","No","No","No","Yes","Yes","Yes","6-8","Improve network connection"
"2024/06/11 03:50:34 PM GMT","Male","Masters","College of Health Sciences","300","Off-campus","No","Never","3","Yes","Yes","No","No","No","No","Yes","No","No","No","0-2","Increase data allowance"
"2024/06/27 09:46:02 PM GMT","Male","Masters","College of Agriculture and Natural Resources","300","Off-campus","No","Several times a week","1","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","6-8","Increase data allowance"
"2024/06/30 07:00:08 AM GMT","Male","Masters","College of Health Sciences","200","Off-campus","Yes","Daily","1","No","No","Yes","Yes","Yes","No","No","Yes","No","No","0-2",""
"2024/06/11 06:11:22 PM GMT","Male","Postgraduate","College of Health Sciences","400","On-campus","Yes","Several times a week","2","No","Yes","No","No","Yes","Yes","Yes","No","No","No","6-8","Increase data allowance"
"2024/06/17 11:49:31 AM GMT","Male","Postgraduate","College of Agriculture and Natural Resources","100","On-campus","Yes","Occasionally","3","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","No","6-8","Increase data allowance"
"2024/07/01 01:36:33 AM GMT","Female","Undergraduate","School of Business","300","Off-campus","No","Occasionally","3","Yes","No","Yes","No","No","No","No","Yes","No","Yes","0-2",""
"2024/06/25 02:01:35 PM GMT","Female","Postgraduate","School of Business","100","Off-campus","No","Several times a week","3","Yes","No","No","No","Yes","Yes","Yes","Yes","No","Yes","3-5","Better customer service"
"2024/07/01 09:50:33 AM GMT","Male","Masters","College of Engineering","300","On-campus","No","Rarely","5","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","3-5","Cheaper data plans"
"2024/06/25 05:24:30 AM GMT","Male","Masters","College of Health Sciences","200","Off-campus","No","Never","5","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","0-2","Better customer service"
"2024/06/28 10:26:57 AM GMT","Female","Masters","College of Art and Built Environment","400","Off-campus","No","Daily","4","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","3-5","Increase data allowance"
"2024/06/20 06:35:11 PM GMT","Male","Undergraduate","College of Science","400","On-campus","Yes","Daily","5","No","No","No","Yes","Yes","No","No","No","No","Yes","3-5","Better customer service"
"2024/06/29 05:39:14 AM GMT","Male","Postgraduate","College of Science","300","Off-campus","No","Several times a week","5","No","Yes","Yes","No","No","No","Yes","No","Yes","Yes","More than 8",""
"2024/06/22 09:56:46 PM GMT","Male","Postgraduate","College of Engineering","100","Off-campus","No","Daily","3","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No","3-5","Improve network connection"
"2024/06/23 05:36:03 AM GMT","Male","Masters","College of Agriculture and Natural Resources","200","Off-campus","Yes","Never","2","Yes","No","No","No","No","Yes","No","No","No","No","More than 8",""
"2024/06/23 03:28:31 PM GMT","Male","Masters","School of Business","100","On-campus","No","Rarely","1","Yes","Yes","No","No","No","No","Yes","No","No","Yes","More than 8","Better customer service"
"2024/06/30 09:51:31 AM GMT","Male","Masters","College of Science","400","Off-campus","Yes","Rarely","1","No","Yes","Yes","Yes","Yes","No","No","No","Yes","No","6-8","Cheaper data plans"
"2024/06/28 05:06:26 AM GMT","Male","Postgraduate","School of Business","300","On-campus","No","Daily","4","No","Yes","No","Yes","Yes","No","No","No","No","No","0-2","Cheaper data plans"
"2024/06/23 06:56:10 PM GMT","Male","Postgraduate","College of Science","200","On-campus","No","Occasionally","4","No","Yes","Yes","No","No","Yes","No","Yes","No","No","3-5",""
"2024/06/25 09:41:11 PM GMT","Male","Undergraduate","College of Science","100","On-campus","No","Occasionally","5","No","No","No","No","No","No","No","Yes","No","Yes","More than 8",""
"2024/06/11 02:00:30 PM GMT","Male","Postgraduate","College of Humanity and Social Science","200","On-campus","No","Several times a week","3","Yes","No","Yes","Yes","No","No","Yes","No","No","Yes","0-2","Improve network connection"
"2024/06/15 10:53:13 PM GMT","Female","Postgraduate","College of Agriculture and Natural Resources","300","Off-campus","No","Occasionally","5","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","No","6-8","Better customer service"
"2024/06/13 03:55:28 PM GMT","Male","Postgraduate","College of Health Sciences","100","Off-campus","Yes","Several times a week","2","Yes","Yes","Yes","Yes","No","No","No","No","No","No","More than 8",""
"2024/06/13 07:43:44 PM GMT","Female","Masters","College of Science","400","Off-campus","Yes","Daily","1","No","No","No","No","No","Yes","Yes","No","Yes","Yes","0-2","Increase data allowance"
"2024/06/23 05:30:13 PM GMT","Male","Postgraduate","School of Business","400","Off-campus","No","Daily","2","Yes","No","Yes","Yes","Yes","No","Yes","No","No","Yes","6-8","Better customer service"
"2024/06/22 01:00:12 AM GMT","Female","Postgraduate","College of Agriculture and Natural Resources","100","Off-campus","No","Several times a week","1","No","No","No","Yes","No","No","No","Yes","No","No","6-8","Improve network connection"
"2024/06/24 03:31:18 PM GMT","Male","Undergraduate","School of Business","300","Off-campus","No","Rarely","3","Yes","Yes","No","No","No","Yes","Yes","No","No","Yes","0-2",""
"2024/06/16 03:40:42 PM GMT","Male","Masters","College of Agriculture and Natural Resources","100","On-campus","No","Never","4","Yes","Yes","No","No","No","Yes","Yes","No","Yes","No","0-2","Increase data allowance"
"2024/07/01 11:33:14 PM GMT","Male","Masters","College of Health Sciences","100","On-campus","Yes","Occasionally","3","Yes","No","Yes","Yes","No","Yes","Yes","No","No","Yes","More than 8",""
"2024/06/23 11:46:34 AM GMT","Female","Postgraduate","College of Art and Built Environment","400","Off-campus","No","Several times a week","5","No","No","No","Yes","Yes","No","No","Yes","No","No","More than 8","Improve network connection"
"2024/06/15 10:36:41 AM GMT","Female","Masters","College of Agriculture and Natural Resources","300","Off-campus","No","Daily","3","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","More than 8","Increase data allowance"
"2024/06/18 07:34:57 PM GMT","Female","Postgraduate","College of Agriculture and Natural Resources","300","On-campus","Yes","Daily","1","No","Yes","Yes","Yes","No","No","Yes","Yes","No","No","6-8",""
"2024/06/17 03:18:59 PM GMT","Female","Masters","School of Business","300","On-campus","No","Never","1","No","Yes","Yes","No","No","Yes","No","Yes","No","No","0-2","Better customer service"
"2024/06/26 01:16:03 AM GMT","Female","Masters","College of Science","300","Off-campus","No","Several times a week","5","No","No","No","No","Yes","Yes","No","Yes","No","Yes","6-8","Improve network connection"
"2024/06/30 04:28:31 AM GMT","Female","Undergraduate","School of Business","300","Off-campus","No","Never","5","No","No","Yes","No","Yes","Yes","No","No","No","No","3-5","Improve network connection"
"2024/06/23 05:05:45 AM GMT","Female","Undergraduate","College of Science","200","Off-campus","No","Daily","4","No","Yes","Yes","No","Yes","No","Yes","No","No","No","More than 8","Increase data allowance"
"2024/06/29 09:54:42 PM GMT","Female","Undergraduate","College of Engineering","100","On-campus","No","Daily","1","Yes","Yes","Yes","No","No","No","No","Yes","Yes","No","More than 8","Improve network connection"
"2024/06/17 03:05:57 AM GMT","Female","Postgraduate","College of Health Sciences","400","On-campus","Yes","Occasionally","1","No","No","No","Yes","No","Yes","Yes","Yes","No","Yes","6-8","Improve network connection"
"2024/06/23 05:53:59 PM GMT","Female","Postgraduate","School of Business","400","On-campus","Yes","Several times a week","4","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","More than 8","Cheaper data plans"
"2024/07/01 10:15:33 PM GMT","Male","Postgraduate","College of Humanity and Social Science","100","On-campus","Yes","Never","4","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","3-5","Better customer service"
"2024/06/25 12:51:39 AM GMT","Female","Postgraduate","College of Engineering","400","Off-campus","No","Occasionally","2","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","0-2","Better customer service"
"2024/06/15 09:28:34 PM GMT","Female","Postgraduate","College of Engineering","200","Off-campus","No","Never","4","No","No","No","Yes","Yes","No","Yes","Yes","Yes","No","3-5",""
"2024/06/12 12:02:30 PM GMT","Male","Masters","College of Humanity and Social Science","100","Off-campus","No","Never","3","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","More than 8","Improve network connection"
"2024/06/23 06:16:04 AM GMT","Male","Postgraduate","College of Agriculture and Natural Resources","400","On-campus","No","Rarely","2","No","Yes","No","No","No","No","No","Yes","No","Yes","3-5","Increase data allowance"
"2024/06/13 07:10:35 PM GMT","Male","Undergraduate","College of Humanity and Social Science","400","Off-campus","Yes","Never","4","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","6-8","Improve network connection"
"2024/06/12 05:08:51 PM GMT","Male","Masters","College of Engineering","400","On-campus","Yes","Occasionally","2","Yes","No","No","Yes","Yes","No","No","No","Yes","No","3-5","Increase data allowance"
"2024/07/01 05:12:07 AM GMT","Female","Masters","School of Business","300","On-campus","Yes","Several times a week","1","No","Yes","No","Yes","No","Yes","No","No","No","No","0-2",""
"2024/06/14 04:38:39 PM GMT","Male","Masters","College of Humanity and Social Science","400","Off-campus","Yes","Occasionally","4","Yes","No","Yes","No","No","Yes","No","No","Yes","No","More than 8",""
"2024/06/21 12:03:59 AM GMT","Female","Undergraduate","College of Art and Built Environment","400","Off-campus","Yes","Never","5","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","3-5","Increase data allowance"
"2024/06/26 12:37:02 AM GMT","Male","Postgraduate","College of Art and Built Environment","100","Off-campus","No","Occasionally","2","Yes","Yes","Yes","No","No","No","Yes","No","No","Yes","More than 8","Cheaper data plans"
"2024/06/21 07:11:44 AM GMT","Male","Undergraduate","College of Humanity and Social Science","300","Off-campus","Yes","Rarely","1","No","No","No","Yes","No","No","No","Yes","No","Yes","6-8","Cheaper data plans"
"2024/06/15 06:41:50 PM GMT","Male","Undergraduate","College of Art and Built Environment","400","On-campus","No","Occasionally","2","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","No","0-2","Better customer service"
"2024/06/17 01:53:11 AM GMT","Male","Postgraduate","College of Engineering","300","Off-campus","No","Occasionally","3","No","No","Yes","No","No","Yes","No","No","Yes","Yes","0-2","Improve network connection"
"2024/06/11 04:32:32 PM GMT","Female","Undergraduate","College of Agriculture and Natural Resources","300","On-campus","Yes","Several times a week","1","No","Yes","Yes","No","No","Yes","No","No","No","Yes","More than 8","Better customer service"
"2024/06/24 03:45:34 PM GMT","Female","Postgraduate","College of Humanity and Social Science","100","On-campus","No","Daily","3","Yes","Yes","Yes","No","No","Yes","Yes","No","No","Yes","6-8",""
"2024/06/11 07:14:18 PM GMT","Female","Masters","School of Business","300","Off-campus","No","Several times a week","5","Yes","Yes","No","No","No","No","No","Yes","No","No","More than 8","Better customer service"
"2024/06/29 10:27:47 AM GMT","Male","Masters","College of Engineering","300","On-campus","Yes","Never","4","Yes","No","No","Yes","Yes","No","Yes","Yes","No","Yes","More than 8","Cheaper data plans"
"2024/06/23 06:03:30 PM GMT","Male","Undergraduate","College of Art and Built Environment","200","On-campus","No","Several times a week","1","Yes","No","Yes","No","Yes","No","No","No","Yes","Yes","6-8","Increase data allowance"
"2024/06/26 08:48:35 PM GMT","Female","Undergraduate","College of Engineering","300","On-campus","No","Daily","1","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","0-2",""
"2024/06/14 07:17:45 AM GMT","Female","Undergraduate","College of Health Sciences","300","Off-campus","Yes","Daily","5","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","0-2","Increase data allowance"
"2024/07/01 02:01:15 PM GMT","Female","Masters","College of Health Sciences","200","On-campus","No","Daily","4","No","No","Yes","Yes","Yes","No","No","No","Yes","Yes","3-5","Cheaper data plans"
"2024/06/15 08:38:21 AM GMT","Female","Masters","College of Health Sciences","300","Off-campus","No","Never","3","No","No","Yes","No","Yes","No","No","Yes","No","Yes","0-2","Better customer service"
"2024/06/21 06:43:46 PM GMT","Male","Undergraduate","School of Business","400","On-campus","No","Several times a week","4","Yes","No","Yes","Yes","Yes","No","No","No","Yes","No","6-8","Improve network connection"
"2024/06/21 05:32:25 PM GMT","Male","Undergraduate","College of Agriculture and Natural Resources","100","On-campus","Yes","Never","2","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","0-2","Cheaper data plans"
"2024/06/12 08:15:28 PM GMT","Male","Postgraduate","College of Agriculture and Natural Resources","200","On-campus","No","Occasionally","5","No","No","No","Yes","No","Yes","No","No","Yes","Yes","3-5","Improve network connection"
"2024/06/16 05:32:32 AM GMT","Female","Undergraduate","College of Art and Built Environment","200","On-campus","No","Rarely","1","No","No","Yes","Yes","No","Yes","No","Yes","Yes","No","6-8","Cheaper data plans"
"2024/06/13 09:34:30 PM GMT","Male","Undergraduate","College of Agriculture and Natural Resources","300","Off-campus","No","Occasionally","2","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","0-2","Better customer service"
"2024/06/24 08:07:43 AM GMT","Male","Undergraduate","College of Art and Built Environment","400","Off-campus","Yes","Rarely","3","No","No","No","Yes","Yes","Yes","Yes","No","No","Yes","3-5","Increase data allowance"
"2024/06/17 06:25:59 PM GMT","Male","Undergraduate","College of Agriculture and Natural Resources","400","On-campus","No","Daily","3","No","No","No","No","No","Yes","No","Yes","Yes","No","0-2","Increase data allowance"
"2024/06/30 01:11:27 AM GMT","Female","Masters","College of Health Sciences","300","Off-campus","No","Several times a week","5","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No","No","6-8","Better customer service"
"2024/06/26 03:32:13 AM GMT","Male","Undergraduate","School of Business","300","On-campus","No","Rarely","2","Yes","No","No","Yes","Yes","No","No","Yes","No","Yes","0-2","Improve network connection"
"2024/06/15 01:38:25 AM GMT","Female","Postgraduate","College of Agriculture and Natural Resources","400","Off-campus","No","Rarely","5","No","No","Yes","Yes","Yes","No","No","No","No","Yes","More than 8",""
"2024/06/11 11:39:21 PM GMT","Female","Postgraduate","College of Health Sciences","200","On-campus","No","Never","1","Yes","No","Yes","Yes","No","No","Yes","No","No","No","3-5",""
"2024/06/21 10:10:16 PM GMT","Male","Undergraduate","College of Health Sciences","200","On-campus","Yes","Daily","1","Yes","No","No","No","Yes","Yes","No","No","Yes","Yes","3-5","Cheaper data plans"
"2024/06/21 04:02:42 AM GMT","Male","Undergraduate","College of Art and Built Environment","300","Off-campus","No","Daily","1","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","No","More than 8",""
"2024/06/28 02:14:06 PM GMT","Male","Postgraduate","College of Health Sciences","100","On-campus","Yes","Rarely","1","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","0-2","Better customer service"
