Gender,Churn,Residence,Usage_Freq,Network_Strength,Voice_Calls,Mobile_Data_Internet,SMS_Text_Messaging,Data_Exhaustion,Multiple_Networks,Poor_Network_Quality_Coverage,Unsatisfactory_Customer_Service,High_Costs_Pricing,Monthly_Data_Usage,Churn_Level
Female,No,On-campus,Daily,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,6-8,4
Male,No,On-campus,Never,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,8 and more,4
Female,No,On-campus,Several times a week,3,No,Yes,No,No,Yes,No,No,No,0-2,4
Male,No,Off-campus,Daily,4,Yes,Yes,Yes,Yes,Yes,Yes,No,No,4-6,4
Female,No,Off-campus,Several times a week,4,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,4-6,4
Female,No,On-campus,Several times a week,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4-6,4
Female,No,Off-campus,Occasionally,2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,6-8,4
Male,No,Off-campus,Daily,1,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,8 and more,4
Female,No,On-campus,Occasionally,1,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,8 and more,4
Female,No,Off-campus,Never,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,8 and more,4
Male,No,On-campus,Several times a week,1,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,6-8,4
Female,No,On-campus,Daily,1,Yes,Yes,No,Yes,Yes,Yes,No,Yes,8 and more,4
Female,No,Off-campus,Occasionally,3,Yes,No,No,Yes,Yes,No,Yes,Yes,8 and more,4
Male,No,On-campus,Daily,3,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,8 and more,4
Male,No,Off-campus,Several times a week,1,No,No,No,Yes,Yes,Yes,No,Yes,4-6,4
Male,No,Off-campus,Rarely,1,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,8 and more,4
Male,No,Off-campus,Daily,1,No,Yes,No,Yes,Yes,Yes,Yes,Yes,8 and more,4
Male,No,Off-campus,Daily,1,Yes,Yes,No,No,Yes,No,No,No,0-2,4
Female,No,Off-campus,Never,5,Yes,Yes,Yes,Yes,Yes,No,No,No,8 and more,4
Male,No,Off-campus,Daily,1,Yes,Yes,Yes,Yes,Yes,Yes,No,No,8 and more,4
Male,Yes,On-campus,Daily,4,No,Yes,Yes,Yes,Yes,Yes,No,No,8 and more,1
Male,No,Off-campus,Occasionally,3,No,Yes,No,Yes,Yes,No,No,No,6-8,4
Male,No,On-campus,Occasionally,3,Yes,No,No,Yes,Yes,No,No,Yes,8 and more,4
Female,No,Off-campus,Several times a week,3,No,No,Yes,No,Yes,Yes,Yes,Yes,2-4,4
Female,No,On-campus,Occasionally,2,Yes,Yes,Yes,No,Yes,No,Yes,Yes,4-6,4
Female,No,On-campus,Daily,3,Yes,Yes,Yes,Yes,Yes,No,Yes,No,8 and more,4
Female,No,Off-campus,Occasionally,2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4-6,4
Male,No,Off-campus,Daily,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,4-6,4
Male,No,On-campus,Daily,2,Yes,Yes,No,Yes,Yes,Yes,Yes,No,4-6,4
Female,No,Off-campus,Occasionally,2,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,2-4,4
Female,No,Off-campus,Occasionally,1,Yes,Yes,Yes,Yes,Yes,Yes,No,No,4-6,4
Male,No,Off-campus,Rarely,1,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,6-8,4
Female,No,Off-campus,Daily,3,No,Yes,Yes,Yes,Yes,Yes,No,Yes,2-4,4
Female,No,Off-campus,Daily,3,Yes,Yes,No,Yes,Yes,Yes,No,No,8 and more,4
Male,No,On-campus,Daily,1,Yes,Yes,Yes,Yes,Yes,No,No,Yes,8 and more,4
Male,No,Off-campus,Several times a week,1,Yes,Yes,No,Yes,Yes,Yes,Yes,No,8 and more,4
Female,No,Off-campus,Daily,2,Yes,Yes,No,No,Yes,No,Yes,Yes,8 and more,4
Male,No,Off-campus,Occasionally,2,Yes,Yes,Yes,Yes,Yes,No,No,No,2-4,4
Male,No,Off-campus,Daily,3,Yes,Yes,Yes,Yes,Yes,No,Yes,No,2-4,4
Male,No,On-campus,Daily,3,Yes,Yes,Yes,Yes,Yes,No,No,Yes,4-6,4
Female,No,Off-campus,Daily,3,Yes,Yes,No,Yes,Yes,No,No,Yes,8 and more,4
Female,No,Off-campus,Daily,4,No,Yes,Yes,Yes,Yes,Yes,No,Yes,4-6,4
Female,No,On-campus,Occasionally,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8 and more,4
Female,No,Off-campus,Daily,1,Yes,Yes,No,Yes,Yes,Yes,No,No,6-8,4
Female,No,Off-campus,Occasionally,3,Yes,Yes,No,No,Yes,Yes,No,No,8 and more,4
Male,No,Off-campus,Daily,1,No,Yes,Yes,Yes,Yes,Yes,No,Yes,8 and more,4
Male,No,Off-campus,Never,5,Yes,Yes,No,Yes,Yes,Yes,No,Yes,8 and more,4
Female,No,Off-campus,Occasionally,1,Yes,Yes,Yes,Yes,No,Yes,No,No,8 and more,4
Male,No,Off-campus,Daily,2,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,8 and more,4
Male,No,Off-campus,Several times a week,1,Yes,Yes,No,Yes,Yes,Yes,No,Yes,8 and more,4
Female,No,Off-campus,Daily,2,Yes,Yes,No,No,Yes,No,Yes,Yes,8 and more,4
Female,No,Off-campus,Daily,3,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,8 and more,4
Male,No,Off-campus,Daily,2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,8 and more,4
Male,No,Off-campus,Several times a week,2,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,0-2,4
Female,No,Off-campus,Several times a week,1,Yes,No,Yes,Yes,Yes,Yes,No,Yes,8 and more,4
Female,Yes,On-campus,Rarely,2,Yes,Yes,No,Yes,Yes,Yes,No,No,8 and more,2
Female,No,Off-campus,Daily,3,No,No,No,Yes,Yes,Yes,No,Yes,8 and more,4
Male,No,Off-campus,Occasionally,2,Yes,No,Yes,Yes,Yes,Yes,Yes,No,8 and more,4
Female,No,Off-campus,Never,3,Yes,Yes,Yes,Yes,Yes,No,Yes,No,8 and more,4
Male,No,Off-campus,Daily,3,Yes,Yes,No,Yes,Yes,Yes,No,Yes,4-6,4
Female,No,Off-campus,Daily,2,Yes,Yes,No,Yes,Yes,Yes,Yes,No,8 and more,4
Male,No,On-campus,Occasionally,1,No,Yes,Yes,Yes,Yes,Yes,Yes,No,2-4,4
Male,No,Off-campus,Daily,2,Yes,Yes,No,Yes,Yes,Yes,No,Yes,8 and more,4
Female,No,On-campus,Daily,2,Yes,Yes,No,Yes,Yes,Yes,Yes,No,8 and more,4
Female,No,Off-campus,Daily,3,Yes,Yes,No,Yes,Yes,No,No,Yes,6-8,4
Male,No,Off-campus,Daily,1,Yes,Yes,Yes,No,Yes,No,No,Yes,4-6,4
Female,No,On-campus,Daily,4,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,8 and more,4
Male,No,Off-campus,Daily,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,4-6,4
Female,No,Off-campus,Several times a week,2,Yes,Yes,No,Yes,Yes,Yes,Yes,No,8 and more,4
Female,No,Off-campus,Several times a week,3,Yes,No,No,Yes,Yes,No,No,Yes,8 and more,4
