Gender,College,Churn,Level,Residence,SIM_Usage,Usage_Freq,Network_Strength,Services_Used,Data_Exhaustion,Other_Networks,Use_Other_More,Reasons_Other,Consider_Discontinue,Reasons_Discontinue,Additional_Feedback
Female,College of Humanity and Social Science,Yes,Level 600,On-campus,No,Never,5,"SMS/Text messaging, Mobile data/Internet, Voice Calls, None of the above",No,"AirtelTigo, MTN, Glo",True,"Better network coverage/signal strength, Faster internet speeds",No,Poor network quality/coverage,8LZhQkcbMnWBZg0d2ZwtqS6ur35gMSMol9FzMyK7Mz1y71bsDS
Male,College of Humanity and Social Science,No,Level 500,On-campus,No,Rarely,1,"None of the above, Voice Calls, SMS/Text messaging",No,"MTN, AirtelTigo",True,Better customer service,Yes,"Insufficient data allowance, High costs/pricing",od9OfIpcGjBn50YX12i5AM9nxqV2sDJrJiCjmALM
Male,College of Humanity and Social Science,No,Level 300,On-campus,No,Several times a week,5,Voice Calls,Yes,"AirtelTigo, MTN, Glo",True,More affordable plans/pricing,No,"High costs/pricing, Insufficient data allowance, Poor network quality/coverage",RSLgA615EoanpqK6CBg2GOJ1bksTnDMTh3ampefm9g3gAes7vxQo5il
Female,College of Humanity and Social Science,Yes,Level 300,Off-campus,No,Several times a week,2,"None of the above, Mobile data/Internet, Voice Calls, SMS/Text messaging",No,"MTN, Glo",True,"More affordable plans/pricing, Better network coverage/signal strength, Better customer service, Faster internet speeds",No,Unsatisfactory customer service,8youOJifZV3pHetyOeKjBdPKfVkfpUSJVKsC6vLKxanHRYRUg2UgA1GJtKkPpst9j8H8TqajM
Male,College of Humanity and Social Science,Yes,Level 600,On-campus,Yes,Rarely,4,"Mobile data/Internet, None of the above",No,"MTN, Glo, AirtelTigo",False,"Faster internet speeds, Better customer service, Better network coverage/signal strength",No,"Poor network quality/coverage, High costs/pricing",X7MuNwjs8fQMwTviKAxmRXcRNvOR5JjZecFqKpc74kQGtKOMCBDcVdwbxpSCCswOMlG
Female,College of Humanity and Social Science,No,Level 500,On-campus,Yes,Daily,1,Voice Calls,No,"MTN, Glo, AirtelTigo",True,"Better network coverage/signal strength, Faster internet speeds, Better customer service",Yes,"Insufficient data allowance, Poor network quality/coverage, Unsatisfactory customer service, High costs/pricing",3sAbyL70SKG3KANsa4z2s
Female,College of Humanity and Social Science,Yes,Level 100,Off-campus,No,Several times a week,3,Voice Calls,No,"AirtelTigo, Glo",False,"Better network coverage/signal strength, Faster internet speeds, More affordable plans/pricing, Better customer service",No,Poor network quality/coverage,rXiLEW1iJPtbVoJITxWrjQ3yOSdWEHBAdB4eKoUq5Es
Female,College of Humanity and Social Science,Yes,Level 600,On-campus,No,Never,1,"SMS/Text messaging, Voice Calls, Mobile data/Internet",Yes,"Glo, AirtelTigo",True,"More affordable plans/pricing, Faster internet speeds, Better network coverage/signal strength",Yes,"Unsatisfactory customer service, Insufficient data allowance, High costs/pricing",P74x1vao7lVMnRzIeg22uEQ5VIVlz23asz5AnUumknEpAdezsoIJKkyH35l7q9Q6SfmQlDcIen2tixwgnluC
Male,College of Humanity and Social Science,Yes,Level 500,On-campus,No,Rarely,3,"SMS/Text messaging, Voice Calls",Yes,AirtelTigo,False,"More affordable plans/pricing, Better customer service",Yes,"Poor network quality/coverage, Unsatisfactory customer service",Ubcn5rZ1sIgaO3VKlQSh
Male,College of Humanity and Social Science,Yes,Level 600,Off-campus,Yes,Occasionally,1,Mobile data/Internet,No,"AirtelTigo, Glo, MTN",False,"Better customer service, More affordable plans/pricing",No,"Unsatisfactory customer service, Poor network quality/coverage, Insufficient data allowance, High costs/pricing",qs5yxsbLBsNpMCMOQIjPUFFirCJAtVCfQXw6032d2gKMDw2yEmNypElnZUFajemWA9WPBV
Male,College of Humanity and Social Science,No,Level 300,Off-campus,No,Several times a week,4,"Mobile data/Internet, None of the above",No,Glo,False,Better network coverage/signal strength,Yes,"Insufficient data allowance, Unsatisfactory customer service, Poor network quality/coverage, High costs/pricing",sbhZNLseo2QTZ6vwqiGt2s376FNlFpPhCLFaQI
Male,College of Humanity and Social Science,Yes,Level 100,On-campus,Yes,Rarely,2,SMS/Text messaging,No,"AirtelTigo, Glo",True,"More affordable plans/pricing, Better customer service, Faster internet speeds, Better network coverage/signal strength",No,Poor network quality/coverage,6LuuzBuXjgGYYWAPN6kVDqzG2B8mYMJpc
Female,College of Humanity and Social Science,No,Level 200,On-campus,No,Rarely,2,None of the above,Yes,"MTN, Glo",False,"Better network coverage/signal strength, More affordable plans/pricing",No,"Unsatisfactory customer service, Insufficient data allowance, Poor network quality/coverage",QWErXviZykHzbjbr64CS5eVA6bM4gbQObNnRKGLU3MVhKWUxmMQU0nnrptRheTa8VaouGghGkPNfHQnOxphT6EH998rqWoGU
Male,College of Humanity and Social Science,Yes,Level 400,Off-campus,Yes,Occasionally,3,"Voice Calls, Mobile data/Internet, None of the above, SMS/Text messaging",No,AirtelTigo,False,"Better network coverage/signal strength, Better customer service, Faster internet speeds",No,"High costs/pricing, Insufficient data allowance",CGskeXsXUgSYn8FlUaw0jheWIJU93KkFPgXByXJM
Female,College of Humanity and Social Science,Yes,Level 300,Off-campus,Yes,Never,1,"Voice Calls, None of the above, Mobile data/Internet, SMS/Text messaging",Yes,"MTN, Glo, AirtelTigo",False,"More affordable plans/pricing, Better customer service, Faster internet speeds",No,"Insufficient data allowance, Unsatisfactory customer service, High costs/pricing, Poor network quality/coverage",U60SK4MbYYdINwlri7dbnOfDISMZ8NZlRC34s0uRFkZqeA8eDLmpzsaigC3GWVOOZNbrSm85kuzn
Male,College of Humanity and Social Science,No,Level 100,On-campus,No,Never,4,"SMS/Text messaging, None of the above",Yes,Glo,True,Faster internet speeds,No,"Poor network quality/coverage, High costs/pricing, Insufficient data allowance",yW2L8E3Y5tSVirwc3fayWPs4rGxDBZ5dnsBo7
Female,College of Humanity and Social Science,No,Level 200,On-campus,Yes,Occasionally,3,"None of the above, SMS/Text messaging, Voice Calls",No,"MTN, Glo, AirtelTigo",False,"Better network coverage/signal strength, More affordable plans/pricing, Faster internet speeds, Better customer service",No,Poor network quality/coverage,tt8BAmtNlZ8dXHdDxpzKBDePZ4vbERGkAsYnQWwcTbp8vDpBzux2xpKLaG91txND6XBHAixFWrpwG6TTIf
Female,College of Humanity and Social Science,Yes,Level 600,Off-campus,Yes,Daily,3,Mobile data/Internet,No,MTN,False,"Faster internet speeds, Better customer service, More affordable plans/pricing, Better network coverage/signal strength",No,Insufficient data allowance,2D6RkcKsoxWlkSP9K48U6rZKwfG1i5qeDNmXpRELz8WirSKCwi67WgTmGh8l8MCZCsquIgFxyc4tRIPceMkjtNbKFkw8M
Male,College of Humanity and Social Science,Yes,Level 600,Off-campus,Yes,Daily,3,"SMS/Text messaging, Voice Calls",Yes,Glo,True,Better network coverage/signal strength,No,Unsatisfactory customer service,hLrZFBmVbuJC38RRwqEKjWhVnlsqGYMy96BbQf2IAIJK5CgR0P4pmje
Female,College of Humanity and Social Science,No,Level 600,Off-campus,Yes,Daily,5,"SMS/Text messaging, Mobile data/Internet",Yes,"Glo, AirtelTigo, MTN",False,More affordable plans/pricing,No,"Unsatisfactory customer service, High costs/pricing, Insufficient data allowance, Poor network quality/coverage",BOCL9vGTWPLJJMk7HtADTDSFmGMN2fZst53Wo8gLLlzc7lo8j846YTqKNFelI44KRIXn9UWoBhlKyKq2leGvb6
Female,College of Humanity and Social Science,No,Level 100,On-campus,Yes,Several times a week,3,"SMS/Text messaging, None of the above, Mobile data/Internet, Voice Calls",No,"AirtelTigo, Glo, MTN",False,"Faster internet speeds, Better customer service, Better network coverage/signal strength, More affordable plans/pricing",Yes,"High costs/pricing, Poor network quality/coverage",LvB45QLuAE9r3Yb81XLvA19xLrJ0neVTsKVxpS6Tb
Female,College of Humanity and Social Science,Yes,Level 200,Off-campus,Yes,Several times a week,2,SMS/Text messaging,No,"AirtelTigo, MTN, Glo",False,"More affordable plans/pricing, Faster internet speeds, Better customer service",Yes,Poor network quality/coverage,3NA6LYGmNLMzVyDwwSYv40I8nXNwKkPrt0C1I53f8QvZICYPVX6NvXVOCAxlYEw0UoM
Male,College of Humanity and Social Science,No,Level 500,Off-campus,No,Daily,3,"SMS/Text messaging, Mobile data/Internet, Voice Calls, None of the above",Yes,"AirtelTigo, MTN, Glo",True,"Faster internet speeds, Better customer service",Yes,"Poor network quality/coverage, Insufficient data allowance",cyle39hZ8hmhfugJ7L8Sxajw3z6e5W2GL1Exh5veYIDmDH0dcu3YAbcdvx196x5S8BbaWkWcLJCsz8
Female,College of Humanity and Social Science,No,Level 200,On-campus,No,Rarely,1,"SMS/Text messaging, Voice Calls",No,"MTN, Glo",False,"More affordable plans/pricing, Better network coverage/signal strength, Better customer service",No,"Insufficient data allowance, Poor network quality/coverage, Unsatisfactory customer service, High costs/pricing",XtIGziXa0L4t2VD7jRXrImHH9uJSkbXe9N9AOG74u3WpFWgMfjDFXmIg1v3URkp6oOgG
Female,College of Humanity and Social Science,No,Level 400,Off-campus,Yes,Daily,3,"Mobile data/Internet, None of the above",Yes,"MTN, AirtelTigo, Glo",True,"Faster internet speeds, More affordable plans/pricing, Better customer service",Yes,Poor network quality/coverage,6j0LhCn7HSlcl2E15Aidr9OCcBobHVv2U9i6cQSYqAWiK71Xr0dO
Female,College of Humanity and Social Science,Yes,Level 500,Off-campus,Yes,Occasionally,2,"SMS/Text messaging, Voice Calls",No,AirtelTigo,False,"Faster internet speeds, More affordable plans/pricing, Better network coverage/signal strength, Better customer service",Yes,"Insufficient data allowance, Unsatisfactory customer service, Poor network quality/coverage, High costs/pricing",GudsitH8iKn9bEmRTbzfljZYT0pOtOoQrX0J0euAqPRBOWGKVf9sxIxQW
Male,College of Humanity and Social Science,Yes,Level 200,On-campus,Yes,Never,4,"Mobile data/Internet, Voice Calls, None of the above, SMS/Text messaging",Yes,"MTN, AirtelTigo",False,Better network coverage/signal strength,No,High costs/pricing,8jN9ZT1SrC8qrHqipk9DS0UHQdszeCetP1zHt8xIwAp16CArMHu4M5o7ObV8wkjjPn0tKXyFQPSzq
Female,College of Humanity and Social Science,Yes,Level 300,On-campus,Yes,Rarely,1,"SMS/Text messaging, Voice Calls",No,"AirtelTigo, MTN",False,"Better customer service, More affordable plans/pricing, Better network coverage/signal strength",Yes,"Unsatisfactory customer service, Poor network quality/coverage, High costs/pricing",EcfxBKOVo5NP9XW7NKeAM0Kp71y0IAiCgss8dJ2mNH8WXMleCfBPCuHE64ZBXE01iQTCaZ
Female,College of Humanity and Social Science,Yes,Level 200,On-campus,No,Rarely,3,"SMS/Text messaging, Voice Calls, None of the above",No,"Glo, AirtelTigo, MTN",False,"Faster internet speeds, Better customer service, Better network coverage/signal strength",No,"Insufficient data allowance, Unsatisfactory customer service, Poor network quality/coverage",68L9yL2DTbrBXOzkCWbCoCsDPnATnj0d0SPyVkJYahmqJDz6yLeNeiZpEzRhESUh0kM8wJWnT
Male,College of Humanity and Social Science,Yes,Level 200,Off-campus,No,Occasionally,3,"SMS/Text messaging, Voice Calls, None of the above, Mobile data/Internet",Yes,"AirtelTigo, MTN, Glo",True,"More affordable plans/pricing, Better customer service",No,High costs/pricing,H82KA9kzJSbAhxX3uILZw76ZT0pisfhXL68FQLeAy7w5M
Male,College of Humanity and Social Science,No,Level 400,On-campus,No,Never,5,"None of the above, Mobile data/Internet, Voice Calls, SMS/Text messaging",No,AirtelTigo,False,"More affordable plans/pricing, Faster internet speeds, Better network coverage/signal strength, Better customer service",Yes,"High costs/pricing, Insufficient data allowance, Poor network quality/coverage, Unsatisfactory customer service",3VLjhM2Jpliyg5hELvy3g7RDtTB9yjsWHPjYFvHY4zDc3yIeRIJV9mg1JZd
Male,College of Humanity and Social Science,No,Level 600,On-campus,No,Daily,3,None of the above,Yes,AirtelTigo,False,"Better network coverage/signal strength, More affordable plans/pricing, Better customer service",No,"High costs/pricing, Poor network quality/coverage",0w7ZLvILGbwyvMrUX5dLHMOejP9ohZyy5Mz6DmzQxlKr7azcjX9V
Female,College of Humanity and Social Science,Yes,Level 600,Off-campus,No,Several times a week,3,Voice Calls,Yes,"AirtelTigo, Glo",False,"Faster internet speeds, Better network coverage/signal strength, Better customer service, More affordable plans/pricing",Yes,"Poor network quality/coverage, Insufficient data allowance, High costs/pricing",O8nii1RLdpOaGc7zL8N1YuBBebIIwf9TsgU66yittiOfEYdyWWYomtTksrbR6H
Male,College of Humanity and Social Science,Yes,Level 500,Off-campus,No,Several times a week,2,"None of the above, Voice Calls, Mobile data/Internet",Yes,Glo,False,"More affordable plans/pricing, Better customer service",Yes,"Insufficient data allowance, High costs/pricing, Poor network quality/coverage, Unsatisfactory customer service",bJT43iAQOLslQiSCot3a1bZtUCTHrXcDqlOv83y55BXSWXMqFHRBmRDd47RqrhvvcbZWvYnDbHao2RTYFXQhZrhsDmldm986
Female,College of Humanity and Social Science,No,Level 400,Off-campus,Yes,Rarely,5,"SMS/Text messaging, Voice Calls, None of the above, Mobile data/Internet",No,AirtelTigo,False,"Faster internet speeds, Better customer service, More affordable plans/pricing",Yes,Poor network quality/coverage,uupMD7Yj5zfPg3VCCohttTU74mPMIgxcPa31PQ8QTOgG7SnqLKozk4fZLRI8LnYNBryEeyy
Male,College of Humanity and Social Science,No,Level 300,Off-campus,Yes,Daily,1,"SMS/Text messaging, Mobile data/Internet",Yes,Glo,False,"Faster internet speeds, More affordable plans/pricing",No,"Unsatisfactory customer service, Insufficient data allowance",FnmYp9qlZpGDtoQcORby6iWspRE6fVl2Mb1PC6Da9VgWY1C2qManbSCnU3mx
Male,College of Humanity and Social Science,Yes,Level 600,Off-campus,Yes,Several times a week,3,"Mobile data/Internet, Voice Calls, SMS/Text messaging, None of the above",No,Glo,True,"Better customer service, Faster internet speeds, Better network coverage/signal strength",No,Insufficient data allowance,eJpo6RBF2YpVFxwPOLiIDFoMV9tzTYwClujXXAcQUFleLvDodw
Male,College of Humanity and Social Science,No,Level 100,On-campus,No,Rarely,5,SMS/Text messaging,No,MTN,False,Faster internet speeds,Yes,"Poor network quality/coverage, Unsatisfactory customer service",EtOK48we47JtjkIXRS4Eb2zRi4aUs0Uu4Tr8Qa2XwADDIJD7OQtk6jUowcvSeL78tu9LC1sK9ZAY6Rpy0X1wqASoNfQLclIQHvo6
Female,College of Humanity and Social Science,No,Level 100,On-campus,Yes,Occasionally,5,"Voice Calls, None of the above, SMS/Text messaging",Yes,"Glo, MTN, AirtelTigo",False,"Faster internet speeds, Better network coverage/signal strength, More affordable plans/pricing, Better customer service",No,"Poor network quality/coverage, Unsatisfactory customer service",kpGKqNHCUYILnEpfM6XijKAW3RZF1qKT36C143FZqamwEpFAOfpVBRQotl7rX7KPfBimIoqm
Female,College of Humanity and Social Science,No,Level 400,Off-campus,No,Daily,3,SMS/Text messaging,No,"MTN, AirtelTigo, Glo",False,"More affordable plans/pricing, Better customer service, Faster internet speeds",Yes,"Poor network quality/coverage, Unsatisfactory customer service, High costs/pricing",VcNcc57ECoMwYXsNWtz3rqcYD552KivVq3O4WsCReUskJJBS4RIp2cBgVmmh5j9aMFHNO0RfZ8YnVW0Bw6O5omRCDZPstc3iLG7
Male,College of Humanity and Social Science,No,Level 600,On-campus,No,Several times a week,1,SMS/Text messaging,Yes,AirtelTigo,True,Faster internet speeds,Yes,"Unsatisfactory customer service, Insufficient data allowance, Poor network quality/coverage",shoM0ecQb8riqrmiDijSN4TZnLvxGYewLWkPGIgsZ3TWchQYo8k6EcxtzTQbL8lqt4WNDm7BUovMbZlks0295UkTBtLFa2kU
Male,College of Humanity and Social Science,No,Level 300,Off-campus,No,Rarely,4,"Mobile data/Internet, SMS/Text messaging, Voice Calls",No,"MTN, AirtelTigo",True,Better network coverage/signal strength,Yes,"Unsatisfactory customer service, Insufficient data allowance, Poor network quality/coverage, High costs/pricing",c2V8B6221IVj3Y9eAAfy7l57aRSB1mLU0k
Female,College of Humanity and Social Science,No,Level 500,Off-campus,Yes,Rarely,2,"None of the above, Mobile data/Internet, Voice Calls, SMS/Text messaging",No,"AirtelTigo, MTN, Glo",False,"Better network coverage/signal strength, Faster internet speeds",Yes,"Insufficient data allowance, High costs/pricing, Poor network quality/coverage, Unsatisfactory customer service",rYbZSFxcreikRQpFvtzXTCxoyvKBI2BbIGXEWQeQuNcjxWZ3BiEm0G058rthbiXqBZLrDX82YlbdqNdQWORI5MlMJ6mfv
Female,College of Humanity and Social Science,Yes,Level 200,On-campus,Yes,Rarely,2,"None of the above, Mobile data/Internet, Voice Calls, SMS/Text messaging",No,"MTN, Glo",True,"More affordable plans/pricing, Better customer service, Better network coverage/signal strength, Faster internet speeds",Yes,"High costs/pricing, Insufficient data allowance",F7Fr765wLXaTlw9gOgGA7AvHNaC3sSG8pd6hIUBMmwsAJM7bDN6Q6GDhCfcQr7j
Female,College of Humanity and Social Science,Yes,Level 100,On-campus,No,Rarely,4,"SMS/Text messaging, None of the above, Voice Calls, Mobile data/Internet",No,"AirtelTigo, MTN",True,"Better network coverage/signal strength, Faster internet speeds, More affordable plans/pricing",No,"Poor network quality/coverage, Unsatisfactory customer service",Xxcx9q5BnI6MLKSb8rF5FLGcGOck2Z1SiD9pay9fnYbbxbG8O36qvzasERZ4z23T0AGAaWDtaNnLN4FQ9Ex2uOi
Male,College of Humanity and Social Science,No,Level 200,Off-campus,Yes,Rarely,5,SMS/Text messaging,No,"Glo, MTN",False,"Better network coverage/signal strength, More affordable plans/pricing",No,"Insufficient data allowance, Poor network quality/coverage, Unsatisfactory customer service, High costs/pricing",LV9nBYaGVySSUbd5Scg3CY8CKtz2n59tKmH9J3Vgkpbyq9YY4qiAH2TI3mu79qvmbsVCgLj0n7
Male,College of Humanity and Social Science,Yes,Level 100,Off-campus,No,Daily,5,"None of the above, Mobile data/Internet, Voice Calls, SMS/Text messaging",Yes,"Glo, AirtelTigo",False,"Better network coverage/signal strength, Better customer service, More affordable plans/pricing, Faster internet speeds",Yes,"Insufficient data allowance, High costs/pricing, Unsatisfactory customer service",W1G8zNbGBwr8eWAfJ2eDWWg
Male,College of Humanity and Social Science,Yes,Level 500,On-campus,No,Never,4,"SMS/Text messaging, Voice Calls",No,"AirtelTigo, MTN, Glo",False,Better customer service,Yes,"High costs/pricing, Insufficient data allowance, Poor network quality/coverage, Unsatisfactory customer service",eqs9oAJTnLoIDzUVz2OZ1zyAdgyeV9aJlV9cBugYLojLqHiFRYUu1IucG5ZOjaeCZJpMsL5jUS
Male,College of Humanity and Social Science,No,Level 400,On-campus,Yes,Daily,4,"Mobile data/Internet, None of the above, SMS/Text messaging, Voice Calls",No,"MTN, AirtelTigo, Glo",True,"More affordable plans/pricing, Better network coverage/signal strength",Yes,"High costs/pricing, Unsatisfactory customer service, Insufficient data allowance",5f58iAXb9PYqtZ3wM3mYhpoWlTAqtGCPsmG4OE
Female,College of Humanity and Social Science,Yes,Level 200,On-campus,Yes,Rarely,1,Voice Calls,No,AirtelTigo,False,"Better customer service, Better network coverage/signal strength, Faster internet speeds, More affordable plans/pricing",No,"Unsatisfactory customer service, Insufficient data allowance, High costs/pricing",ebzuhId6OAUugvEPAPgN1rrNbJXiRwUOexcDw2qpFp3BXdWCmXcXjN9j7VGkh6rjo8XjW9Fzbiiq0vF7TrGexYA
Female,College of Humanity and Social Science,Yes,Level 600,On-campus,Yes,Never,3,"None of the above, Voice Calls",No,"MTN, Glo",False,"Better network coverage/signal strength, Faster internet speeds, Better customer service",Yes,"High costs/pricing, Insufficient data allowance",1fjIY9lrRRCg4qvhz7Vo3dp
Female,College of Humanity and Social Science,Yes,Level 300,Off-campus,Yes,Several times a week,2,"Mobile data/Internet, Voice Calls",No,"Glo, AirtelTigo",False,"Faster internet speeds, More affordable plans/pricing",No,"Poor network quality/coverage, Insufficient data allowance",888EB5H97thboM4NYxKVh6VwobpvHMoYGpMqGoacR0sfwNHPqODJmgPEVOndFj8497u
Female,College of Humanity and Social Science,Yes,Level 300,On-campus,Yes,Occasionally,2,"Mobile data/Internet, SMS/Text messaging",Yes,MTN,False,"Faster internet speeds, More affordable plans/pricing, Better network coverage/signal strength",Yes,"Unsatisfactory customer service, Poor network quality/coverage",NzYK2dLXhN7n8WYK155YMjggjgrJu8ZgCvCzIkUecEHVxVTh0FepCFo99Q
Male,College of Humanity and Social Science,Yes,Level 400,Off-campus,Yes,Rarely,2,"Mobile data/Internet, SMS/Text messaging",No,"AirtelTigo, Glo, MTN",False,"More affordable plans/pricing, Better network coverage/signal strength, Faster internet speeds",No,Unsatisfactory customer service,eIznmmkOTGT3DiKGzvhOKdWka18btVDG89QePLMA
Female,College of Humanity and Social Science,Yes,Level 300,Off-campus,No,Rarely,2,Mobile data/Internet,Yes,"Glo, AirtelTigo, MTN",True,Better network coverage/signal strength,No,Unsatisfactory customer service,KLMF7R1Ii7bCSciyHXhewUuyNRR5
Female,College of Humanity and Social Science,Yes,Level 200,Off-campus,No,Occasionally,3,"Voice Calls, SMS/Text messaging, Mobile data/Internet",Yes,Glo,False,Faster internet speeds,No,"Unsatisfactory customer service, Poor network quality/coverage, High costs/pricing, Insufficient data allowance",nRywbrJLi6eYpk2pqhGeL
Male,College of Humanity and Social Science,Yes,Level 200,Off-campus,No,Never,5,"Voice Calls, None of the above",Yes,Glo,False,"Better network coverage/signal strength, Faster internet speeds",No,"Poor network quality/coverage, High costs/pricing, Insufficient data allowance",4fstxAtPin4z4k2l0UuNcPrWU06tSPeKW5kSEfshGSZVMSX86Ar8WCuNGTzQc2uHK2QLw5Npsj0NgcAjVqtNW9GQMKTAM
Female,College of Humanity and Social Science,No,Level 500,Off-campus,No,Rarely,3,"None of the above, Mobile data/Internet",No,AirtelTigo,True,"Faster internet speeds, Better network coverage/signal strength",No,High costs/pricing,9TwqplSal5Fe56OqFlxg8Da6nvhwKH72tbZqF63bTqjcBBMwp1pzbDb
Female,College of Humanity and Social Science,Yes,Level 500,On-campus,No,Never,2,"Voice Calls, SMS/Text messaging, Mobile data/Internet",Yes,MTN,True,"Better network coverage/signal strength, Better customer service, Faster internet speeds, More affordable plans/pricing",Yes,"High costs/pricing, Unsatisfactory customer service, Insufficient data allowance, Poor network quality/coverage",xtcoOPNRgs7TZMZVWDHOHtctQAXjdL1ehX26ypJ1q3kU5Xac3elJZytGg7wPzCf6KEUyrgoMr5
Male,College of Humanity and Social Science,No,Level 300,Off-campus,Yes,Occasionally,3,SMS/Text messaging,No,AirtelTigo,False,"More affordable plans/pricing, Faster internet speeds, Better customer service, Better network coverage/signal strength",No,"Insufficient data allowance, High costs/pricing, Poor network quality/coverage",vPqSO7WhlseVFDydyFFUFIWWs7QX7GA2bZrqGmVGeU79c25XFlZA8Vyf8iyKvhecQptiRUXUFV
Female,College of Humanity and Social Science,No,Level 500,Off-campus,No,Rarely,5,SMS/Text messaging,Yes,Glo,True,"More affordable plans/pricing, Faster internet speeds, Better network coverage/signal strength",No,"High costs/pricing, Unsatisfactory customer service",WUQr8Pk0dtFiCR7DKnkhWTtttd
Male,College of Humanity and Social Science,Yes,Level 500,Off-campus,Yes,Several times a week,2,"None of the above, Voice Calls",Yes,AirtelTigo,True,"Better customer service, Better network coverage/signal strength, More affordable plans/pricing, Faster internet speeds",Yes,"Poor network quality/coverage, High costs/pricing, Insufficient data allowance",bpaAkQJfH9Ze0v7FVjYh6hmVwDhUzq1dJkRWbHBmrjjdEGjNMDQHOPBqt6loQLh2nduMjuhaVbSgfw9
Male,College of Humanity and Social Science,Yes,Level 100,On-campus,No,Daily,3,None of the above,No,"AirtelTigo, MTN, Glo",False,"Faster internet speeds, More affordable plans/pricing, Better customer service, Better network coverage/signal strength",No,"High costs/pricing, Unsatisfactory customer service, Poor network quality/coverage",YBtMaKUAubaAxJFQH2naYvHpHaiQmdchKZlUhBfVneZ
Female,College of Humanity and Social Science,No,Level 200,On-campus,Yes,Rarely,2,Mobile data/Internet,Yes,"Glo, MTN",False,"Better customer service, More affordable plans/pricing",No,Insufficient data allowance,6Blhdwl9qXK6joEtIuo4VXAN4K6H5uPw5FFeydy2fPoXsXESqKdXymTiaEYQNs
Female,College of Humanity and Social Science,Yes,Level 100,On-campus,Yes,Several times a week,3,"Mobile data/Internet, Voice Calls",Yes,"MTN, AirtelTigo, Glo",False,"More affordable plans/pricing, Better customer service, Better network coverage/signal strength",No,"High costs/pricing, Insufficient data allowance",WpqNmrCMehgAEY6DcTiCVToxeQHbiqjKlnqmwPnGSECMC7z8aEsysrGz8wqjZr84ovEQ5MCbcGfyQ92eMnD3hBRiIDjz4C50zR
Male,College of Humanity and Social Science,No,Level 300,On-campus,Yes,Never,5,"Voice Calls, Mobile data/Internet",Yes,"MTN, AirtelTigo, Glo",True,"Better customer service, Faster internet speeds, More affordable plans/pricing",Yes,Unsatisfactory customer service,cqiaa6ZeUvY9EHWIdNGuivA8FbiSUtu8tAahbx2EehiDDLVgg8EFf
Male,College of Humanity and Social Science,Yes,Level 300,Off-campus,Yes,Daily,4,"Voice Calls, Mobile data/Internet, None of the above",Yes,"MTN, AirtelTigo, Glo",False,More affordable plans/pricing,Yes,"Unsatisfactory customer service, Insufficient data allowance",PEIzx61A3AwNvQnxEXI45rL8EchTsZRY81mRnrEq0LjRJThteDxlwopi00yGkU6
Male,College of Humanity and Social Science,No,Level 600,Off-campus,No,Daily,4,"Voice Calls, Mobile data/Internet",Yes,Glo,True,"Better network coverage/signal strength, Faster internet speeds",Yes,High costs/pricing,lLUeLRnTXUFJWrvItmcIEXLN63XqhJd3o7QMMYRSSHv2w1pNFOtT221OPR5q8RhmS7qrUQDl5m6BRN
Male,College of Agriculture and Natural Resources,Yes,Level 200,On-campus,Yes,Never,2,Voice Calls,No,"MTN, Glo, AirtelTigo",True,"Better network coverage/signal strength, More affordable plans/pricing, Better customer service",Yes,"High costs/pricing, Insufficient data allowance",4014kfCQ5S9fA34zyd3zIwdAan8FpNQ2FZE7N7rlyupA6Mwp4ktjG8q8wrWE6EtKFxSqh4CfH9BbEQK5ECYYKX9
Female,College of Agriculture and Natural Resources,Yes,Level 200,Off-campus,No,Never,4,"SMS/Text messaging, Mobile data/Internet",No,"MTN, Glo, AirtelTigo",False,"More affordable plans/pricing, Faster internet speeds, Better customer service, Better network coverage/signal strength",Yes,"Insufficient data allowance, High costs/pricing, Unsatisfactory customer service, Poor network quality/coverage",uwlfgkI8JGpAyhIkBOOFAXtCuOyaIeYIIG3CZ0
Male,College of Agriculture and Natural Resources,Yes,Level 200,Off-campus,Yes,Daily,3,"SMS/Text messaging, Mobile data/Internet, Voice Calls, None of the above",No,"Glo, MTN, AirtelTigo",False,"Better customer service, Faster internet speeds, Better network coverage/signal strength, More affordable plans/pricing",No,"Insufficient data allowance, Unsatisfactory customer service, High costs/pricing",d8ol5yqb0N4S6PcC13301Z2cDI6
Male,College of Agriculture and Natural Resources,No,Level 400,Off-campus,No,Rarely,4,Mobile data/Internet,Yes,"AirtelTigo, Glo",True,"Better network coverage/signal strength, More affordable plans/pricing",Yes,"Insufficient data allowance, Unsatisfactory customer service, High costs/pricing, Poor network quality/coverage",4BzU4g9f5X7ujzWtk2EZmTsHCZxvaRjC64W9zocPPZCEFG6SLDW4toJQ2Qd3D6SVFqE1IYOBaC
Female,College of Agriculture and Natural Resources,No,Level 600,On-campus,No,Rarely,3,"None of the above, Voice Calls, SMS/Text messaging",Yes,"MTN, Glo",False,"Better network coverage/signal strength, Better customer service",No,"High costs/pricing, Unsatisfactory customer service, Poor network quality/coverage, Insufficient data allowance",5f6aOscTiZkcKJQpnjS94dv9q10r8ep2GttkMyw8e86PF6eFvY
